,Date,User,Tweet
70,2022-07-15 14:11:57+00:00,sandunarosha,"Next president of Sri Lanka : What we know ?

Candidates: 
 @RW_UNP
@DullasOfficial
@sajithpremadasa 

(Sarath Fonseka - TBC )

@PodujanaParty earlier said that they will support RW , but now they are refusing it.

#SriLankaCrisis #SriLankaprotest  #SriLankaEconomicCrisis"
71,2022-07-15 14:07:48+00:00,dp_satish,Sri Lanka is seeking a dollar four billion financial assistance from China. Chinese connections won’t end with the exit of Rajapaksa clan. It is much deeper and they have invested heavily over the last 15 years. #SriLankaProtests
72,2022-07-15 14:02:58+00:00,PrabodOfficial,"Opposition Leader @sajithpremadasa will contest for presidency from the SJB Front - MP Mujibur Rahman 
#lka #SriLankaCrisis"
73,2022-07-15 14:02:28+00:00,PrabodOfficial,SLPP MP Madura Withanage says party General Secretary's announcement tp support @RW_UNP Do Not reflect the majority SLPP MPs #lka #SriLankaCrisis
74,2022-07-15 14:02:08+00:00,ihshaniqbal,If #Ranil wins he will nominate #Mahinda as him PM. I have a gut feeling 😅 #SriLankaProtests #Rajapaksa #SriLankaEconomicCrisis
75,2022-07-15 13:59:24+00:00,PGMEL99,"Parliamentary elections are the only way out of this mess...
#GoHomeRajapaksas"
76,2022-07-15 13:55:57+00:00,hiru_90,It’s that time of the year again where our parliamentarians will earn some good money. Hope you make the right decision despite how much you are going to be paid. Please save SL. #lka #SriLankaCrisis #SriLanka
77,2022-07-15 13:42:50+00:00,Vidiyallk,Opposition Leader @sajithpremadasa will contest for presidency from the SJB Front - MP Mujibur Rahman said #lka #SriLanka #SriLankaCrisis
78,2022-07-15 13:38:19+00:00,Vidiyallk,#SLPP MP Madura Withanage says party General Secretary's announcement tp support #RanilWickremesinghe DO NOT reflect the majority SLPP MPs #lka #SriLanka #SriLankaCrisis
79,2022-07-15 13:33:37+00:00,muditha,Sri Lanka is a very unfortunate country. Many politicians (old and new) are not understanding the frustrations the people. They still are playing the same games. Who can make them understand? #SriLankaProtests
80,2022-07-15 13:32:22+00:00,KelKethes,"What or which diaspora organisation is #GotabayaRajapaksa intending to join? 
#SriLankaProtests"
81,2022-07-15 13:20:46+00:00,kozVerite,"Time is ripe for world's ""democracies"" and their ""transparent"" bankers to return all the #Rakapaksa's stolen wealth to help the #SriLankaCrisis"
82,2022-07-15 13:20:13+00:00,HirazHyder,"People Vs Parliament, Revolution begins.
#EconomicCrisisLK #GoHomeGota #GoHomeGota2022 #GoHomeRajapaksas #GoHomeRanil2022"
83,2022-07-15 13:13:10+00:00,tamil_butterfly,"Thank you to all of you who have given at least some support to the #protest, except for those who said that this protest will not bring success and nothing will change. 
#GoHomeRani #GoHome225    #GoHomeGota #lka #අරගලයටජය #BRAKINGNEWS #SriLankaCrisis #SriLankaProtests"
84,2022-07-15 13:10:26+00:00,nuuuwan,"Assuming,
1) @DullasOfficial gets 40 MPs 
2) Those who voted against the 20A (64 MPs) vote for @sajithpremadasa 

That leaves 111 MPs. 

Conclusion: 
@RW_UNP would win easily in a 3 🐴 race?

What are the flaws in this argument?

#SriLanka #SriLankaCrisis"
85,2022-07-15 13:07:37+00:00,MohdHai1,It is advisable @sajithpremadasa and @anuradisanayake withdraw from parliament voting if Rajapaksas SLPP is the one deciding the president. SLPP do not have the mandate after the departure of Gota. #SriLankaCrisis #Srilanka
86,2022-07-15 13:04:45+00:00,misnadhaque,"People: We demand accountability!

Also people: Don't blame us for electing hooligans with a 2/3rd majority, boiling kiribath and ridiculing all opposition voices. We didn't vote for you, but fix our mess!

#stupidity #SriLankaCrisis #politics #accountability"
87,2022-07-15 12:59:18+00:00,staiditude,"The people's power has ousted a lying, dictating, murderous, bastardly crook from the seat of the 1st citizen of Sri Lanka. Democracy has won! But the battle doesn't end here. #අරගලයටජය #democracy #SriLankaCrisis"
88,2022-07-15 12:59:00+00:00,TheBasedAkhi,"Fed up of staying @ home.
Fed up of online lectures.
Wanna do some work that requires man power / mechanical knowledge.
I'm not a person who likes to sit on a chair and pay attention to some Mathematics. 🙃
#bored #EconomicCrisis #lka #SriLankaCrisis #smileinpain"
89,2022-07-15 12:57:05+00:00,no_off_ense,"if #RanilWickremesinghe is the acting president, wasn't #Rajapaksa the impersonating one?

#SriLankaCrisis"
90,2022-07-15 12:55:14+00:00,d_dharmapala,"Why are our options still ‘Sajith’ ‘SF’ ‘AKD’ in 2022? Why not ‘Sudarshani’ ‘Thalatha’ ‘Harini’?
#SL #SRILANKA #SriLankaCrisis #SriLankaEconomicCrisis #SriLankanpoliticalcrisis #WomenInPolitics #WomenInPower #WomensRights #women #SriLanka 🇱🇰"
91,2022-07-15 12:54:14+00:00,nuuuwan,"What combination of MPs are most likely to contest for #President in the @ParliamentLK vote?

RW = @RW_UNP 
SP = @SajithPremadasa 
DA = @DullasOfficial

#SriLanka #SriLankaCrisis"
92,2022-07-15 12:53:15+00:00,MattReyxx,"The pol instability in SL is making the eco crisis even worse. The autocratic President Gotabaya has escaped the country leaving the people in the crisis of his making. Interestingly Chinese hv been silent on this matterThey have greatly contributed to this mess.
#SriLankaCrisis"
93,2022-07-15 12:53:02+00:00,Waruna44,Who will be the next President ?#SriLankaProtests #GotaGoHome2022 #GoHomeRanil
94,2022-07-15 12:50:42+00:00,1shivamgulati,"Once Again, Lanka is Burning because of it's Ruler.
Surely they say , History repeats itself. 
#SriLankaCrisis"
95,2022-07-15 12:40:24+00:00,PrabodOfficial,"Parliamentarian Patali Champika Ranawaka says the next President of Sri Lanka must not be a ruler, but a caretaker.
#lka #SriLankaCrisis"
96,2022-07-15 12:40:07+00:00,PrabodOfficial,"Registrar of the Asgiri Chapter Venerable Medagama Dhammananda thera says all politicians must set-aside party politics and work towards ensuring peace and stability in Sri Lanka.
#lka #SriLankaCrisis"
97,2022-07-15 12:34:22+00:00,PasinduRathnay7,"Congratulations @RW_UNP Finally you've got your dream job. (At least for few days) 
#SriLankaCrisis #SriLankanpoliticalcrisis"
98,2022-07-15 12:33:33+00:00,nmiakeel,"Why is Dumbika Perera not among the candidates?

I thought SLPP would vote for him as the president because SLPP is always good at choosing the worst 
#SriLankaCrisis
#SriLankaEconomicCrisis
#SRILanka"
99,2022-07-15 12:26:54+00:00,CitizenSL1,"Ranil started work.....
Brigadier Anil Somaweera, the commander of the Colombo 112 Brigade, who refused to fire on the protesters who seized the Prime Minister's Office on the 13th, has been removed from all responsibilities with effect.#SriLankaCrisis #lka #Ranil"
100,2022-07-15 12:26:32+00:00,MissionShravan,#SriLankaCrisis why hasn't this fellow Gotabaya not escaped to China from whom he took big loans? Perhaps because China gave him a cold shoulder?
101,2022-07-15 12:14:14+00:00,Thomi_Tweet,"Due to lack of fuel, sending of parcels by post to several countries has been suspended.
Country list 👇
USA🇺🇸
Netherland 🇳🇱
Russia🇷🇺
Israel 🇮🇱

#SriLanka  #SriLankaCrisis #isreal #Russia #Netherlands #USA"
102,2022-07-15 12:12:50+00:00,FarahDoole,"What's the word @RW_UNP hates the most right now? 

I'll give a hint. It starts with an A and ends with a G 🤭

#lka #SriLankaProtests #SriLankaCrisis #AllTheActorsDoIt"
103,2022-07-15 12:11:27+00:00,nuuuwan,"How many candidates, do you think, will context in @ParliamentLK for #President? 

#SriLanka #SriLankaCrisis"
104,2022-07-15 12:07:29+00:00,AhmadMujthaba,"“We captured this building to show people power. We give it back the way we captured it and leave. We will come back in the next minute if needed,"" Danish Ali, a protester at the prime minister's office, told BBC Tamil. —BBC
#SriLankaCrisis #slk #powerofpeople 🤜"
105,2022-07-15 12:04:26+00:00,PrabodOfficial,"Cabinet meeting currently in session  chaired by the Acting President @RW_UNP
#lka #SriLankaCrisis"
106,2022-07-15 12:03:12+00:00,SachinthaAbey,"In order to overcome the Dollar ($) Crisis that Sri Lanka is currently facing, the Sri Lankans living in abroad have joined together and started a new social media campaign called #SriLankadollarchallenge . 

#EconomicCrisisLK #SriLankaCrisis #RiseupSriLanka #RestartSriLanka"
107,2022-07-15 12:00:14+00:00,CEO_Abdullah,"Party leaders and the opposition please come to a decision as no one from the National List nor having less than 100,000 votes at the 2020 General Election could contest for the Presidential Election to be held on the 20th July 2022.

#Sajith #Anura #SriLanka #SriLankaCrisis"
108,2022-07-15 11:57:40+00:00,HiruNewsEnglish,"India looking forward to an early solution of the situation related to the govt &amp; its leadership in SL through democratic means &amp; values in established institutions &amp; constitutional framework : Indian HC

#HiruEnglishNews #TruthAtAllCosts   #SriLankaProtests #SriLankaCrisis"
109,2022-07-15 11:56:51+00:00,_yumdev,China is behind #SriLankaCrisis
110,2022-07-15 11:55:01+00:00,official_mh1997,You can hardly hear a vehicle pass by outside at all due to the fuel crisis. You can only buy on box of powdered milk per bill from a supermarket. Schools closed. Power outages. #GoHomeGota #GoHomeGota2022 #GoHomeRanil #RanilGoHome #GoHomeRanil2022 #SriLanka #SriLankaCrisis
111,2022-07-15 11:52:01+00:00,Surfingsuren,"All SLPP minister's should be questioned by there voters in there respective area if they are supporting Ranil Wickramasinghe For President.
#Srilanka #GoHomeRanil #GoHomeRanil2022 #SriLankaProtests #SriLankaCrisis #lka"
112,2022-07-15 11:51:50+00:00,iamranorius,"SLPP decides to support Acting President Ranil Wickremesinghe in the parliamentary vote to choose the next president: General Secretary Sagara Kariyawasam

#SriLanka #SriLankaCrisis"
113,2022-07-15 11:51:47+00:00,DhananjayaRanw3,"Today our country, which is in debt, is not able to meet the needs of its own people and for this not only our government but China is also responsible.
#chinaout #SriLanka #SriLankaCrisis #SriLankaCrisis"
114,2022-07-15 11:51:44+00:00,im_kannah,"Every Tom Dick &amp; Harry wants to be #President &amp; #PrimeMinister for this tiny #SriLanka. 
Seems 2 b more candidates than Prez Elections.
Power Hungry, Selfish crooks. Should send all of them home in the next General Elections.
#SriLankaProtests #SriLankanpoliticalcrisis #අරගලයටජය"
115,2022-07-15 11:51:13+00:00,iam_shabeesh,"Acting president or President acting?

#SriLankaProtests"
116,2022-07-15 11:51:11+00:00,official_mh1997,The upcoming Presidential Election will be held inside the Parliament of Sri Lanka. Will the people's will be exercised or will another corrupt leader be elected? #GoHomeGota #GoHomeGota2022 #GoHomeRanil #RanilGoHome #GoHomeRanil2022 #SriLanka #SriLankaCrisis #SriLankaProtests
117,2022-07-15 11:47:46+00:00,Becca__jp,"‼️The Supreme Court has imposed a temporary travel ban on both Mahinda &amp; Basil Rajapaksa

#lka #SriLanka #SriLankaCrisis #SriLankaProtests #SriLankaProtests #ProtestsLK"
118,2022-07-15 11:46:35+00:00,official_mh1997,The ruling SLPP Party of Sri Lanka have proclaimed their interest to support the now Acting President Ranil for the upcoming Presidential Election. What nonsense is this? #GoHomeGota #GoHomeGota2022 #GoHomeRanil #RanilGoHome #GoHomeRanil2022
119,2022-07-15 11:44:59+00:00,sahilpndy,"Sri Lanka's Supreme Court today issued an interim order preventing former Prime Minister Mahinda Rajapaksa and former Minister Basil Rajapaksa from leaving the country without the court's permission until July 28th:Sri Lanka's DailyMirror

#SriLankaCrisis"
120,2022-07-15 11:44:13+00:00,Becca__jp,"‼️SLPP pledges support towards Acting President 
@RW_UNP in the upcoming parliamentary vote for President

#lka #SriLanka #SriLankaCrisis #SriLankaProtests #ProtestsLK"
121,2022-07-15 11:43:12+00:00,NDharmarathna_,"What will happen next to Sri Lanka...? 🤔
What is your opinion?👀

#SriLanka #SriLankaProtests #SriLankaCrisis #EconomicCrisis #SriLankaEconomicCrisis"
122,2022-07-15 11:40:12+00:00,sentoran,If Ranil will step down on 20th. Whom do you think the most suitable pres candidate ? If others pls comment. We have IMF / Debt restructuring/ Fuel / political challenges @rangaba @AzzamAmeen #SriLankaCrisis
