,Date,User,Tweet
53,2022-07-01 09:25:03+00:00,AthaudaDasuni,"POWER CUTS : DELAYS EXPECTED 

There could be delays in restoring sudden electricity breakdowns due to the present fuel crisis.

- Ceylon Electricity Board

#lka #SriLankaEconomicCrisis"
54,2022-07-01 09:10:22+00:00,ZyedAfrin,"Qatar said NO! because of Janaza burning and sent him away!

#lka #SriLankaCrisis
#srilanka"
55,2022-07-01 09:02:34+00:00,RizwanStWEET,"Lahiru Weerasekara, Rathindu Senarathne(Ratta) &amp; Rathkarawwe Jinarathana Thero, who were arrested and remanded on June 22, granted bail by Fort Magistrate

#SriLankaCrisis #ProtestLK #PoliticalCrisisLK #EconomicCrisisLK #SriLanka #LKA #SL"
56,2022-07-01 08:52:50+00:00,Doctor_Ro_,"So last night I was called up to fetch a kidney while I was off my duty hours, and there no way in hell I could get a taxi to get to the hospital. My vehicle was not available at the time and I started walking to the hospital since there was no other option.
#SriLankaCrisis"
57,2022-07-01 08:39:02+00:00,kavindra97,"🚗➡️🚲
It's funny and sad to think that, instead of ""I bought a new car"" Sri Lankans share pictures of their New Bicycles. It is good for the environment but here the story is different. Simply they don't have a choice. 💁‍♂️
#SriLankaCrisis #SriLankaEconomicCrisis #GoHomeGota2022"
58,2022-07-01 08:34:59+00:00,sohan_vipul,"Several Trade Unions have launched a strike action with immediate effect.- The Railway trade Union 
#SriLankaEconomicCrisis"
59,2022-07-01 08:34:55+00:00,HSanJWijekoon,"Our neighbours are making huge leaps in tech &amp; science while we are languishing in queues. 70 yrs of no progress in these vital fields. No research,no training, no industries, no nothing.@sjbsrilanka you guys need to be pioneers of the change we need.#SriLankaCrisis #systemchange"
60,2022-07-01 08:21:47+00:00,nuzlyMN,"Now Who stopped the LRT Project worth of $ 1.8 Billion? Anura Kimara &amp; JVP? 

He might have had wrong influence in Japan relationship with us but so did you &amp; Your Bosses! 

#Misleading #propaganda #GoHomeGota"
61,2022-07-01 07:39:55+00:00,ZyedAfrin,"🛑 Railway employees strike

The railway employees have started a strike with effect.

Services from Fort and Marudhanai railway stations were suspended immediately.

#lka #SriLankaCrisis #SriLanka #GoHomeGota2022 #railway"
62,2022-07-01 07:33:07+00:00,Becca__jp,"🚂 Railway workers, including Railway guards &amp; engine drivers, have commenced a strike action with immediate effect

- Railway Trade Unions

#lka #SriLanka #SriLankaEconomicCrisis #SriLankaCrisis"
63,2022-07-01 07:22:06+00:00,SriLanka_lka,"22 train journeys including office trains cancelled due to the fuel crisis: Railway Department

#SriLankaCrisis #SriLankarailway #lka"
64,2022-07-01 07:22:00+00:00,mgcruwan,"Sri Lanka is going towards  a self-shutdown in a few days.
Banks have reduced their operational hours, SME's, boutique shops, electronic shops, saloons, fashion stores, &amp; many more are closing their operations earlier than usual. 
Sad state  😧
#SriLankaCrisis"
65,2022-07-01 06:42:52+00:00,rimzanz,Food inflation exceed 80% in #SriLankan @RW_UNP came to save @GotabayaR @PresRajapaksa and his subordinates not #SriLankaEconomicCrisis
66,2022-07-01 06:42:51+00:00,parakramar,"Just like they let the undial market to grow day by day, next is the fuel black market.Pathetic to see that the authorities aren't doing anything at all.
Never learn.Such a stupid bunch of useless leaders @GotabayaR  @RW_UNP @kanchana_wij 

#fuelcrisisLK #GoHomeGota2022 #lka"
67,2022-07-01 06:39:42+00:00,Mog7734,"What the fuck, Sri Lanka?! #SriLankaCrisis #SLvsAus"
68,2022-07-01 06:29:52+00:00,AbdulMedellinn,Operation successful but unfortunately patient dead 🇱🇰🤷‍♂️ #SriLankaCrisis
69,2022-07-01 06:29:40+00:00,WasaamIsmail,"Took a public bus a few nights ago after many years. Back to old roots. And routes. Very humbling. 

#SriLankaCrisis #FuelCrisisLK"
70,2022-07-01 06:28:11+00:00,berniedole,"That’s a collapse, Sri Lanka  all out 113 #SriLankaCrisis"
71,2022-07-01 06:25:33+00:00,ARVLoshan,"Head 4 wickets 😅
Our batting LOL 
Another #SriLankaCrisis 🥲

#SLvAUS"
72,2022-07-01 06:03:56+00:00,nuzlyMN,"#GoHomeGota (1/)

I learnt yesterday, Slave Island Police came to my office last Tuesday looking for me. 

They had asked for my personal details, but my HR refused to provide it to them as they did not have a warrant to support their request.! 

#PoliceBrutality"
73,2022-07-01 05:37:32+00:00,AnonymousWork7,Why are some management so ruthless and unempathetic to their employees getting the to come to work daily or on a hybrid model during #FuelCrisisLK? Especially IT related &amp; computerized jobs which can be done remotely even in #SriLanka.
74,2022-07-01 05:27:05+00:00,rimzanz,#SriLankan need USD but politicians need commission #SriLankaEconomicCrisis
75,2022-07-01 05:23:53+00:00,kazZtr_,After 2days the IOC next to lanka hospital is issuing Petrol. The queue should be more then 3KM. But they are expecting another load this evening.  #FuelCrisisLK #RT
76,2022-07-01 05:22:46+00:00,NashalieDe,"Seen a lot of rhetoric about Sri Lanka experiencing hyperinflation with the CPI rising to 54.6% in June. As far as I know, hyperinflation is usually defined as monthly change exceeding 50%, while the CPI measures YoY change
#SriLankaEconomicCrisis #GoHomeGota2022"
77,2022-07-01 05:08:17+00:00,MimiWdf,"So there was a very short queue (5 cars) near the station near my house. Just as I was about to pump petrol my alarm clock went off. What an agonising way to wake up. Hard to pump pretol even in our wildest dreams.😧
#lka #SriLanka #SriLankaEconomicCrisis #FuelCrisisLK"
78,2022-07-01 04:53:53+00:00,CoffeeSnortsMe,Have been trying to start work for an hour. Can’t figure out how. Guess it’s one of those days in this living hell. #SriLankaEconomicCrisis
79,2022-07-01 04:43:32+00:00,MotMaward,17 off the first over is a vibe 🇱🇰 #CricketTwitter  #SriLankaCrisis what crisis?
80,2022-07-01 04:37:28+00:00,SankaD,"If we (the people) don't do anything regarding this crisis within this month, we probably won't have another time. #SriLanka #SriLankaCrisis"
81,2022-07-01 04:19:35+00:00,Ruwan007,Those of who think that the R family is finished in SL politics… think again and look at what is happening in Philippines today the similar Tyrant Marcos family deposed from the country not so long ago is back in power for another round of plundering.#SriLankaCrisis #GotaGoHome
82,2022-07-01 04:14:14+00:00,GamikaDe,"Empty roads, closed shops, closed schools,frustrated faces gives me shivers. Take off your tinted shades of party politics at least now! #SriLankaCrisis"
83,2022-07-01 04:09:56+00:00,kaliyacurry,"The health sector only fuel station near Anderson road is going upto saranankara road 😱💀.. from altos to Benz and Audi...
Some are in there  scrubs and nurse uniform!!!
Shame #GoHomeGota"
84,2022-07-01 03:54:35+00:00,pathmalal,"IMF negotiations: SL is expecting a sugar daddy after giving the finger to everyone in the last couple of years. Literally nobody was spared

Japan -LRT
US -MCC
China central expressway
India -ETCA

IMF will take time but it’s going on the right direction
#SriLankaEconomicCrisis"
85,2022-07-01 03:53:51+00:00,nuzlyMN,"Inflation is 55.4% in June According to CCPI. 

Everything soaring upwards but the Salaries of the people remains the same or some even have cuts. 

&amp; even after all these, Gota &amp; his Mafia doesn’t have a plan nor they are resigning &amp; give way for others! 

Shame! 

#GoHomeGota"
86,2022-07-01 03:44:53+00:00,razzleflamm,"Before blaming everything on a single person, we need to have a look at how much global macro factors have worsen the current situation of Sri Lanka. I'm willing to bet Corona and the Russian attack on Ukraine Play the bigger part than the Sri Lankan people realize. #GoHomeGota"
87,2022-07-01 03:40:17+00:00,yugan___,"22 train journeys including office trains cancelled due to the fuel crisis: Railway Department

#LKA #SriLanka #SLnews #EconomicCrisisLK #Fuel #FuelShortage #FuelCrisisLK"
88,2022-07-01 03:24:26+00:00,RizwanStWEET,"22 scheduled trains, including office trains are canceled as employees are unable to come to duty due to fuel shortage - Sri Lanka Railway Department

Follow 👉🏻 @rdmnslk for Train updates

#SriLankaCrisis #ProtestLK #PoliticalCrisisLK #EconomicCrisisLK #SriLanka #LKA #SL"
89,2022-07-01 03:22:03+00:00,maybeimtoohot,"Colombo is officially Gotham City now 🏴‍☠️
#SriLankaCrisis"
90,2022-07-01 03:08:47+00:00,Becca__jp,"🚂22 trains scheduled to run today have been cancelled due to lack of staff

#lka #SriLanka #SriLankaCrisis #SriLankaEconomicCrisis"
91,2022-07-01 03:01:29+00:00,_Saajid_,"The SL Govt's change of stance on the Qatar Charity has got to be the biggest Uno reverse of the millennium.

#SriLankaCrisis #SriLankaEconomicCrisis #FuelCrisisLK #GoHomeGota2022 #GoHomeRajapakshas"
92,2022-07-01 02:29:25+00:00,Pramu79,Children should go to schools ! It’s not just to pass exams and learn what is in the book. #EducationForAll #children #ChildRights #SriLanka #SriLankaCrisis
93,2022-07-01 02:27:46+00:00,AbinayaShanth,"Fuel crisis delays O/L paper marking 

#lka #SriLanka #FuelCrisisLK #SriLankaEconomicCrisis #DepartmentofExaminations #OrdinaryLevel"
