,Date,User,Tweet
55,2022-08-13 09:23:53+00:00,PrabodOfficial,"All government and government approved private schools will function on all five week days between 7.30 am and 1.30 pm from Monday(15) - Education Ministry
#lka #SriLankaCrisis"
56,2022-08-13 08:42:18+00:00,MekoTweet,"All #Government &amp; Government approved private #schools will function on all 5 days of the week with effect from August 15 from 7.30am to 1.30 pm....
-Ministry of Education
#education #BackToSchool #backtonormal #SriLankaCrisis #EconomicCrisisLK #school"
57,2022-08-13 08:39:00+00:00,IamSivaranjan,"All Government &amp; Government approved private schools will function on all 5 days of the week with effect from August 15 from 7.30am to 1.30 pm: Ministry of Education 

#lka #SriLankaCrisis"
58,2022-08-13 08:32:37+00:00,Rasiya_Twitz,"All Government &amp; Government approved private schools will function on all 5 days of the week with effect from August 15 from 7.30am to 1.30 pm: Ministry of Education 

#lka #SriLankaCrisis"
59,2022-08-13 08:23:04+00:00,arethusacader,#SriLankaEconomicCrisis Prasanna Ranatunge admitted in Parliament today that they do not have the support of the 6.9 million now. How then are you in a government with a leader who did not win a single seat?
60,2022-08-13 08:10:27+00:00,PrabodOfficial,"The Petroleum Products (Special Provisions) (Amendment) Bill gazetted.
#lka #SriLankaCrisis"
61,2022-08-13 06:05:01+00:00,MoronVerbose,"The latest accusation by the #failures in #Parliament is that the #Aragalaya was funded by the tamil #Diaspora. #LiesToSurvive This bunch of losers still haven't asked themselves why there were protests.
#SriLankaProtests #SriLankaCrisis #srilankanpoliticalcrisis"
62,2022-08-13 05:48:16+00:00,Wirabahu1,"Judiciary in Sri Lanka is a mockery. Judges get kickbacks from corrupt politicians, businesses in #LKA. They need to be prosecuted.#Lankans need to jail these corrupt judges with corrupt politicians to progress .#Aragalaya #SriLankaProtests @hrw @RamanayakeR @NagaKodituwakku"
63,2022-08-13 05:40:33+00:00,MacsBeat3,"Okay, prices of the electricity bill, chicken and eggs all increased! 
The people who live in remote areas and people who run their lives with daily wages would have to toil throughout their lives. 
Now that is just lazy governance.
#lka
#SriLanka 
#SriLankaEconomicCrisis"
64,2022-08-13 04:35:53+00:00,iDeshnoor,"We live in a world where predictions are so easy. Based on what’s going on in some part of the world we can say something similar will happen.

#RussiaInvadedUkraine and #China will Invade #Taiwan 

#SriLankaCrisis #Pakistan may soon follow and #India also not so far behind."
65,2022-08-13 04:29:20+00:00,Shana56588200,"Bitter truth - No one can develop Sri Lanka until corruption eradicate.
Corruption can not eradicate until Rajapaksha's in power.
Rajapaksha's will be in power until @RW_UNP is the president.

#SriLankaCrisis #GoHomeGota2022"
66,2022-08-13 03:14:05+00:00,finityfund,"Workers' remittances in July 2022 was #USD 279.5 mn &amp; cumulative figure for Jan-July 2022 was USD 1,889.4 mn. It is a 50% drop compared to the corresponding period in 2021(USD 3,777.6 mn) - #CBSL 

#srilankadollarchallenge 
#SriLankaCrisis #SriLankaEconomicCrisis"
67,2022-08-12 18:25:00+00:00,SriLankanBuzz,"Today's Trending #Tags 12-8-2022. 1/5
       1. #SriLankaProtests
       2. #SriLankaCrisis
       3. #Kilinochchi
       4. #SriLankaEconomicCrisis
       5. #News1st
       6. #India
       7. #EconomicCrisisLK"
68,2022-08-12 16:23:32+00:00,Welikumbura,"Standard postal charges have been increased from Rs. 15/= to Rs. 50/=. That is a 333% increase. Other postal charges increased as well. More economic reforms are yet to come.

#lka #SriLanka #SriLankaEconomicCrisis #SriLankaCrisis #CrisisLK"
69,2022-08-12 14:33:47+00:00,tmendis,"1/ A Plan and Strategy are not the same!
A plan establishes an intention or a decision in advance about what to do. It is a map or decision tree that serves as a guideline as things progress. 

#SriLankaProtests #SriLanka #lka #EconomicCrisisLK"
